drain_id,area_name,latitude,longitude,installation_date
80,Tambaram,13.0439,80.296833,2012-10-22
81,Avadi,13.0987,80.162081,2023-09-13
82,Tambaram,12.976983,80.112376,2019-04-30
83,Egmore,12.827307,80.276476,2021-06-11
84,Villivakkam,12.851486,80.256669,2010-10-10
85,Mylapore,13.078487,80.173542,2014-09-20
86,Adyar,13.196753,80.103172,2021-04-07
87,Pallavaram,12.993474,80.152511,2018-04-08
88,Triplicane,12.962295,80.207003,2018-01-08
89,T. Nagar,13.152432,80.284018,2021-06-17
90,Perambur,12.814982,80.215765,2012-10-26
91,Porur,12.82281,80.22169,2023-09-03
92,Kolathur,13.073856,80.119091,2014-05-31
93,Pallavaram,13.029779,80.275262,2024-07-28
94,Thiruvanmiyur,12.894128,80.297774,2013-03-30
95,Anna Nagar,13.060503,80.144052,2022-05-03
96,Thiruvanmiyur,12.917835,80.195495,2022-09-20
97,Medavakkam,12.808822,80.282811,2021-07-20
98,Triplicane,13.079098,80.15697,2020-08-17
99,Kodambakkam,12.909614,80.238866,2019-03-13
100,Villivakkam,12.910953,80.111577,2019-03-17
101,Avadi,13.062699,80.171498,2016-04-28
102,Chromepet,13.164207,80.288366,2013-09-02
103,Avadi,12.86016,80.130242,2016-09-23
104,Velachery,12.876185,80.136154,2011-06-12
105,Nungambakkam,13.033525,80.17981,2015-09-08
106,Guindy,13.143523,80.119358,2013-06-29
107,Medavakkam,13.072518,80.176381,2014-10-06
108,Saidapet,12.96601,80.22246,2017-12-01
109,Medavakkam,12.808961,80.119503,2023-09-29
110,Nungambakkam,13.078476,80.160766,2024-01-16
111,Adyar,12.961761,80.251603,2022-06-14
112,Guindy,13.144587,80.232286,2021-02-15
113,T. Nagar,12.910058,80.293865,2015-04-01
114,Egmore,13.087941,80.268502,2011-05-25
115,Tambaram,13.029377,80.182882,2016-06-22
116,Kolathur,12.996979,80.293153,2015-10-26
117,Adyar,12.995423,80.281102,2015-06-17
118,Ambattur,12.984103,80.273703,2010-01-27
119,Velachery,13.036995,80.100772,2019-12-29
120,Avadi,13.064424,80.165244,2017-01-14
121,T. Nagar,13.081019,80.274836,2012-04-02
122,Porur,13.181411,80.202301,2014-04-01
123,Egmore,12.947814,80.165454,2021-05-14
124,Ambattur,12.892161,80.249705,2023-08-09
125,Egmore,13.026999,80.127363,2014-03-03
126,Ambattur,13.155696,80.26049,2026-04-13
127,Saidapet,13.180356,80.162531,2019-07-14
128,T. Nagar,12.877493,80.116962,2017-04-27
129,Royapettah,13.134318,80.222713,2014-11-12
130,Besant Nagar,12.82983,80.102975,2017-06-24
131,T. Nagar,12.818007,80.236338,2020-04-26
132,Guindy,13.121001,80.101422,2014-09-24
133,Besant Nagar,12.973637,80.154044,2016-01-08
134,Thiruvanmiyur,13.050481,80.132757,2024-12-28
135,Kodambakkam,12.8598,80.129136,2025-07-31
136,Porur,12.866306,80.268836,2021-11-16
137,Villivakkam,12.834069,80.284247,2023-01-30
138,Anna Nagar,13.010814,80.161735,2025-04-18
139,Besant Nagar,12.874485,80.122029,2015-09-08
140,Kolathur,13.173185,80.143843,2011-11-25
141,Avadi,13.129743,80.246266,2026-01-02
142,Medavakkam,13.111013,80.152068,2014-09-14
143,Royapettah,12.802996,80.243039,2023-11-10
144,Porur,13.122911,80.295326,2021-03-01
145,Kolathur,12.911548,80.286079,2025-08-01
146,Velachery,13.026032,80.1654,2013-01-03
147,Sholinganallur,13.197473,80.150859,2025-06-26
148,Perambur,13.037929,80.108828,2012-04-07
149,Sholinganallur,13.128534,80.218686,2010-04-17
150,Saidapet,13.170076,80.281135,2023-01-25
151,Sholinganallur,12.869507,80.174413,2025-05-28
152,Chromepet,13.037861,80.241907,2010-05-27
153,Medavakkam,12.82551,80.281305,2017-08-06
154,Porur,13.008836,80.133085,2019-03-15
155,Besant Nagar,12.846773,80.185056,2011-06-14
156,Tambaram,12.873932,80.231501,2014-04-22
157,Mylapore,13.034192,80.106648,2013-01-13
158,Mylapore,12.91315,80.150945,2015-05-10
159,Perambur,12.806526,80.158317,2020-03-27
160,Sholinganallur,13.017585,80.173922,2015-08-27
161,T. Nagar,13.098996,80.197827,2011-05-24
162,Mylapore,13.138338,80.25968,2010-09-18
163,Avadi,13.074745,80.11205,2021-07-06
164,Adyar,13.060218,80.111375,2016-11-30
165,Nungambakkam,12.912007,80.198928,2017-03-03
166,Sholinganallur,12.998412,80.148014,2026-04-07
167,Nungambakkam,12.993625,80.175423,2025-01-13
168,Chromepet,12.952833,80.221244,2018-08-09
169,Tambaram,12.913472,80.234901,2020-04-07
170,Adyar,13.195562,80.116709,2020-10-15
171,Adyar,12.827937,80.128748,2018-02-12
172,Kodambakkam,12.912967,80.218822,2019-04-13
173,Porur,13.103542,80.225073,2013-10-26
174,Perambur,12.845663,80.281379,2024-10-17
175,Ambattur,13.061391,80.217926,2013-04-05
176,Royapettah,12.807531,80.190652,2024-11-09
177,Velachery,13.191569,80.108081,2018-10-01
178,Tambaram,12.976221,80.25092,2024-03-17
179,Nungambakkam,12.972831,80.235067,2023-07-24
180,Anna Nagar,13.048521,80.291219,2020-01-27
181,Tambaram,12.939419,80.132423,2024-05-06
182,Mylapore,12.88918,80.1246,2020-06-26
183,Perambur,13.022459,80.291612,2022-08-10
184,Porur,12.939853,80.207591,2023-07-28
185,Tambaram,12.958243,80.151897,2017-05-26
186,Kodambakkam,12.927925,80.153594,2021-12-28
187,T. Nagar,13.06655,80.12877,2016-10-12
188,Perambur,13.063834,80.109689,2025-10-26
189,Tambaram,12.879561,80.114631,2010-05-23
190,Kodambakkam,12.958916,80.298402,2026-03-02
191,Egmore,13.134632,80.108909,2024-08-03
192,Ambattur,13.147189,80.229551,2022-11-10
193,Ambattur,13.1833,80.126961,2025-02-13
194,Villivakkam,13.196871,80.277807,2018-05-29
195,Royapettah,13.154168,80.115303,2026-03-31
196,Medavakkam,12.949988,80.299884,2024-12-07
197,Triplicane,12.826711,80.169901,2026-02-19
198,Nungambakkam,13.14098,80.167005,2014-02-14
199,Chromepet,12.859309,80.267331,2012-10-18
200,Thiruvanmiyur,13.129054,80.287746,2012-04-19
